Bank Name,Location,Date,Abbrev,Decision,Amount,Paid,Box Number,Page Number,Line,Bank_Confidence,Loc_Confidence,Line,County,County Text
First National Bank,"Cambridge, Minn.",10/18/32,R-393,approved,"$33,400.00",PAID,Box_Test,17,3,1,1,"10/18/32 - R-393 approved - $33,400.00 PAID
",0,
First National Bank,"Cambridge, Minn.",2/28/33,R-3439,approved,"$43,000.00",,Box_Test,17,4,1,1,"2/28/33 - R-3439 approved - $43,000.00
",0,
First National Bank,"Cambridge, Minn.",6/26/33,,cancelled,"$43,000.00",,Box_Test,17,5,1,1,"6/26/33 - cancelled - $43,000.00
",0,
First National Bank,"Arlington, Nebraska","Apr. 27, 1932",LA-2250,Loan approved,"$12,000.00",PAID,Box_Test,15,2,1,1,"Loan approved - Apr. 27, 1932 - $12,000.00 - LA-2250 - (Loan )PAID
",0,
Orion State Bank,"Lake Orion, Michigan",6/15/38,,declined,"$20,000.00",,Box_Test,29,3,1,1,"6/15/38 - PSS - declined - $20,000.00
",0,
Charleston National Bank,"Charleston, West Virginia",4/6/40,PSS-1746,approved,"$750,000.00",PAID,Box_Test,7,3,1,1,"1 /16/34 - PSS-1746 - approved - $750,000.00 PAID 4/6/40
",0,
Central State Bank,"Beulah, Michigan","May 20, 1932",LA-3363,Loan approved,"$30,000.00",PAID,Box_Test,6,2,1,1,"Loan approved - May 20, 1932 - $30,000.00 - LA-3363 PAID
",0,
Maquoketa Bank & Trust Company,"Maquoketa, Iowa",10/21/36,,DECLINED,"$20,000.00",,Box_Test,28,3,0,1,"10/21/36 - PSS - DECLINED - $20,000.00
",0,
Farmers & Merchants National Bank,"Sheridan, Indiana","May 3, 1932",LA-2557,Loan approved,"$20,000.00",PAID,Box_Test,14,3,1,1,"Loan approved - May 3, 1932 - $20,000.00 - LA-2557 - (Loan 1) PAID
",0,
Farmers & Merchants National Bank,"Sheridan, Indiana","Jan. 23, 1935",LA-19278,Loan approved,"$28,000.00",PAID,Box_Test,14,4,1,1,"Loan approved - Jan. 23, 1935 - $28,000.00 - LA-19278 - (Loan 3) PAID
",0,
First State Bank,"Tishomingo, Okla.","July 23, 1932",LA-6124,Loan approved,"$15,000.00",PAID,Box_Test,19,2,1,0,"Loan approved - July 23, 1932 - $15,000.00 - LA-6124 PAID
",0,
State Bank,"Andrews, Indiana","Mar. 15, 1932",LA-420,Loan approved,"$20,000.00",PAID,Box_Test,31,3,1,1,"Loan approved - Mar. 15, 1932 - $20,000.00 - LA-420 - (Loan 1)PAID
",0,
State Bank,"Andrews, Indiana","Dec. 12, 1932",R-1544,Ren. approved,"$19,145.00",PAID,Box_Test,31,4,1,1,"Ren. approved - Dec. 12, 1932 - $19,145.00 - R-1544 - (R.1-L.1)PAID
",0,
Manufacturers Central National Bank,"Lynn, Massachusetts",3/1/34,PSS-2377,approved,"$200,000.00",PAID,Box_Test,25,2,0,1,"3/1/34 - PSS-2377 - approved - $200,000.00 PAID 6-6-47
",0,
Loramie Banking Co.,"Fort Loramie, Ohio","Jan. 14, 1933",LA-10514,Loan approved,"$24,500.00",PAID,Box_Test,24,2,0,1,"Loan approved - Jan. 14, 1933 - $24,500.00 - LA-10514 PAID
",0,
Randall State Bank,"Randall, Minnesota","Sept. 9, 1932",LA-7778,Loan approved,"$10,000.00",PAID,Box_Test,30,5,1,1,"Loan approved - Sept. 9, 1932 - $10,000.00 - LA-7778 PAID
",0,
Randall State Bank,"Randall, Minnesota","Nov. 10, 1932",LA-9073,Loan approved,"$ 4,200.00",PAID,Box_Test,30,6,1,1,"Loan approved - Nov. 10, 1932 - $ 4,200.00 - LA-9073 PAID
",0,
First State Bank,"Turtle Lake, N. D.","Nov. 30, 1932",LA-9431,Loan approved,"$33,000.00",PAID,Box_Test,18,2,1,1,"Loan approved - Nov. 30, 1932 - $33,000.00 - LA-9431 PAID
",0,
Maribel State Bank,"Maribel, Wisconsin",1 /13/34,DP-2221,approved,"$25,000.00",PAID,Box_Test,26,3,1,1,"1 /13/34 - DP-2221 - approved - $25,000.00 PAID 11-15-46
",0,
State Bank,"Sandusky, Michigan","Oct. 11, 1932",LA-8466,Loan approved,"$33,000.00",PAID,Box_Test,32,4,1,1,"Loan approved - Oct. 11, 1932 - $33,000.00 - LA-8466 - (Loan 1)PAID
",0,
State Bank,"Sandusky, Michigan","May 20, 1933",B-4365,Ren. approved,"$33,000.00",PAID,Box_Test,32,5,1,1,"Ren. approved - May 20, 1933 - $33,000.00 - B-4365 - (R.1-L.1) PAID
",0,
State Bank,"Sandusky, Michigan","Jan. 24, 1934",B-6418,Ren. approved,"$31,974.00",PAID,Box_Test,32,6,1,1,"Ren. approved - Jan. 24, 1934 - $31,974.00 - B-6418 - (R.2-L.1) PAID
",0,
Citizens Bank,"Albany, Kentucky","July 6, 1932",LA-5334,Loan approved,"$32,500.00",PAID,Box_Test,8,4,1,1,"Loan approved - July 6, 1932 - $32,500.00 - LA-5334 - (Loan 1) PAID
",0,
Citizens Bank,"Albany, Kentucky","Dec. 15, 1932",R -1649,Ren. approved,"$32,238.00",PAID,Box_Test,8,5,1,1,"Ren. approved - Dec. 15, 1932 - $32,238.00 - R -1649 - (R.1-L.1) PAID
",0,
Citizens Bank,"Albany, Kentucky","July 26, 1933",R -5305,Ren. approved,"$28,258.00",PAID,Box_Test,8,6,1,1,"Ren. approved - July 26, 1933 - $28,258.00 - R -5305 - (R.2-L.1) PAID
",0,
Commercial National Bank,"San Antonio, Texas","July 28, 1933",LA-14018,Loan approved,"$274,000.00",PAID,Box_Test,9,2,1,1,"Loan approved - July 28, 1933 - $274,000.00 - LA-14018 PAID
",0,
State Bank & Trust Company,"Wellston, Missouri",2/21/41,CNP-99,approved,"$85,000.00",PAID,Box_Test,33,3,0,1,"2/10/34 - CNP-99 - approved - $85,000.00 PAID 2/21/41
",0,
Manufacturers National Bank,"Troy, N.Y.",5/21/41,PSS-2096,approved,"$1,000,000.00",PAID,Box_Test,27,2,0,0,"1/27/34 PSS-2096 approved - $1,000,000.00 PAID 5/21/41
",0,
Liberty Trust Company,"Cumberland, Maryland",12/28/33,DP-830,approved,"$300,000.00",PAID,Box_Test,23,2,1,1,"12/28/33 - DP-830 - approved - $300,000.00 PAID 8-4-45
",0,
Liberty Savings Bank,"Liberty, Tennessee",Apr. 7,LA-I236,Loan approved,"$ 16,000.00",PAID,Box_Test,22,3,1,1,"Loan approved - Apr. 7, I932 - $ 16,000.00 - LA-I236 - (Loan I) PAID
",0,
Liberty Savings Bank,"Liberty, Tennessee",Aug. 8,LA-6708,Loan approved,"$ 5,000.00",PAID,Box_Test,22,4,1,1,"Loan approved - Aug. 8, I932 - $ 5,000.00 - LA-6708 - (Loan 2) PAID
",0,
Liberty Savings Bank,"Liberty, Tennessee","Sep. 23, 1932",LA-8,Loan approved,"$ 5,000.00",PAID,Box_Test,22,5,1,1,"Loan approved - Sep. 23, 1932 - $ 5,000.00 - LA-8I3I - (Loan 3) PAID
",0,
Liberty Savings Bank,"Liberty, Tennessee",Oct. 25,R-536,Ren. approved,"$ 13,741.50",PAID,Box_Test,22,6,1,1,"Ren. approved - Oct. 25, I932 - $ 13,741.50 - R-536 - (R.I-L.I) PAID
",0,
Liberty Savings Bank,"Liberty, Tennessee","May 18, 1933",R-4832,Ren. approved,"$ 4,697.39",PAID,Box_Test,22,7,1,1,"Ren. approved - May 18, 1933 - $ 4,697.39 - R-4832 - (R.I-L.3) PAID
",0,
Union Savings & Trust Company,"Warren, Ohio",2/10/40,DP-2249,,"$250,000.00",PAID,Box_Test,34,3,0,0,"1/15/34 - DP-2249 - approved - $250,000.00 PAID 2/10/40
",0,
Granite City Trust & Savings Bank,"Granite City, Illinois","July 11, 1932",LA- 5509,Loan approved,"$60,000.00",PAID,Box_Test,20,3,1,1,"Loan approved - July 11, 1932 - $60,000.00 - LA- 5509 - (Loan 1) PAID
",0,
Granite City Trust & Savings Bank,"Granite City, Illinois","Oct. 10, 1932",R - 209,Ren. approved,"$50,400.00",PAID,Box_Test,20,4,1,1,"Ren. approved - Oct. 10, 1932 - $50,400.00 - R - 209 - (R.1-L.1) PAID
",0,
Granite City Trust & Savings Bank,"Granite City, Illinois","Dec. 6, 1932",LA- 9573,Loan approved,"$100,000.00",PAID,Box_Test,20,5,1,1,"Loan approved - Dec. 6, 1932 - $100,000.00 - LA- 9573 - (Loan 2) PAID
",0,
Granite City Trust & Savings Bank,"Granite City, Illinois","Nov. 9, 1933",LA-14652,Loan approved,"$125,000.00",PAID,Box_Test,20,6,1,1,"Loan approved - Nov. 9, 1933 - $125,000.00 - LA-14652 - (Loan 3) PAID
",0,
Liberty National Bank,"Marine City, Michigan","May 6, 1932",LA-2755,Loan approved,"$60,000.00",PAID,Box_Test,21,3,1,1,"Loan approved - May 6, 1932 - $60,000.00 - LA-2755 - (Loan 1) PAID
",0,
Liberty National Bank,"Marine City, Michigan","Nov. 29, 1932",B-1265,Ren. approved,"$ 53,405.00",PAID,Box_Test,21,4,1,1,"Ren. approved - Nov. 29, 1932 - $ 53,405.00 - B-1265 - (R.1-L.1) PAID
",0,
Liberty National Bank,"Marine City, Michigan","July 28, 1934",LA-17802,Loan approved,"$140,000.00",PAID,Box_Test,21,5,1,1,"Loan approved - July 28, 1934 - $140,000.00 - LA-17802 - (Loan 2) PAID
",0,
