Type,Text
ABBREV,CPSSA-629
ABBREV,CPSS-3586
ABBREV,PSS-3143
ABBREV,CPSSA-990
ABBREV,PSSA-1884
ABBREV,R-4346
ABBREV,R-6497
ABBREV,LA-1533
ABBREV,R-501
AMOUNT,"$100,000.00"
AMOUNT,"$100,000.00"
AMOUNT,"$25,000.00"
AMOUNT,"$25,000.00"
AMOUNT,"$25,000.00"
AMOUNT,"$10,000.00"
AMOUNT,"$425,000.00"
AMOUNT,"$1,236,000.00"
AMOUNT,"$100,000.00"
AMOUNT,"$100,000.00"
AMOUNT,"$125,000.00"
AMOUNT,"$75,000.00"
AMOUNT,"$100,000.00"
AMOUNT,"$124,700.00"
AMOUNT,"$249,935.00"
AMOUNT,"$178,730.00"
AMOUNT,"$142,830.00"
AMOUNT,"$365,000.00"
AMOUNT,"$500,000.00"
AMOUNT,"$500,000.00"
AMOUNT,"$500,000.00"
AMOUNT,"$20,000.00"
AMOUNT,"$70,000.00"
AMOUNT,"$70,000.00"
AMOUNT,"$40,000.00"
AMOUNT,"$40,000.00"
AMOUNT,"$35,000.00"
AMOUNT,"$35,000.00"
AMOUNT,"$43,541.34"
AMOUNT,"$41,193.90"
AMOUNT,"$48,000.00"
AMOUNT,"$50,000.00"
AMOUNT,"30,000.00"
AMOUNT,"$15,000.00"
AMOUNT,"$15,000.00"
AMOUNT,"$21,000.00"
AMOUNT,"$21,000.00"
AMOUNT,"$20,000.00"
AMOUNT,"$20,000.00"
AMOUNT,"$5,000.00"
AMOUNT,"$21,000.00"
AMOUNT,"$15,000.00"
AMOUNT,"$15,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,500,000.00"
AMOUNT,"$6,396,870.00"
AMOUNT,"$1,289,000.00"
AMOUNT,"$5,000,000.00"
AMOUNT,"$5,000,000.00"
AMOUNT,"$10,966,331.00"
AMOUNT,"$3,829,682.00"
AMOUNT,"$301,000.00"
AMOUNT,"$4,000,000.00"
AMOUNT,"$12,000,000.00"
AMOUNT,"$12,000,000.00"
AMOUNT,"$3,840,000.00"
AMOUNT,"$1,920,000.00"
AMOUNT,"$1,920,000.00"
AMOUNT,"$5,200,000.00"
AMOUNT,"$5,200,000.00"
AMOUNT,"$5,080,000.00"
AMOUNT,"$1,910,500.00"
AMOUNT,"$4,732,583.00"
AMOUNT,"$12,461,350.00"
AMOUNT,"$1,000,000.00"
AMOUNT,"$11,127,700.00"
AMOUNT,"$3,862,000.00"
AMOUNT,"$10,000,000.00"
AMOUNT,"$1,181,872.00"
AMOUNT,"$2,536,828.00"
AMOUNT,"$2,500,000.00"
AMOUNT,"$3,000,000.00"
AMOUNT,"$3,000,000.00"
AMOUNT,"$3,352,500.00"
AMOUNT,"$2,680,000.00"
AMOUNT,"$1,680,000.00"
AMOUNT,"$1,680,000.00"
AMOUNT,"$1, 680,000"
AMOUNT,"$325,000.00"
AMOUNT,"$105,000.00"
AMOUNT,"$235,415.00"
AMOUNT,"$75,000.00"
AMOUNT,"$40,000.00"
AMOUNT,"$83,690.00"
AMOUNT,"$158,085.00"
AMOUNT,"$5,000.00"
AMOUNT,"$5,000.00"
AMOUNT,"$10,000.00"
AMOUNT,"$300,000.00"
AMOUNT,"$300,000.00"
AMOUNT,"$300,000.00"
AMOUNT,"$300,000.00"
AMOUNT,"$59,033.00"
AMOUNT,"$11,000.00"
AMOUNT,"$15,000.00"
AMOUNT,"$40,000.00"
AMOUNT,"$25,000.00"
AMOUNT,"$39,710.00"
AMOUNT,"$20,000.00"
AMOUNT,"$13,500.00"
AMOUNT,"$63,000.00"
AMOUNT,"$140,000.00"
AMOUNT,"$32,000.00"
AMOUNT,"$162,000.00"
AMOUNT,"$50,000.00"
AMOUNT,"$50,000.00"
AMOUNT,"$55,000.00"
AMOUNT,"$55,000.00"
AMOUNT,"$55,000.00"
AMOUNT,"$39,000.00"
AMOUNT,"$55,000.00"
AMOUNT,"$39,000.00"
AMOUNT,"$60,000.00"
AMOUNT,"$32,300.00"
AMOUNT,"$100,000.00"
AMOUNT,"$28,600.00"
AMOUNT,"$10,000.00"
DATE,"Apr. 18, 1932"
DATE,"Dec. 9, 1932"
DATE,"July 2, 1934"
DATE,4/13/34
DATE,5 /10/34
DATE,12/28/33
DATE,"July 11, 1933"
DATE,6/1/44
DATE,"May 7, 1932"
DATE,"May 17, 1932"
DATE,"May 24, 1932"
DATE,"Sep. 7, 1932"
DATE,"Jan. 6, 1933"
DATE,"Jan. 6, 1933"
DATE,"Jan. 10, 1933"
DATE,"July 26, 1933"
DATE,"Apr. 10, 1934"
DATE,"July 29, 1932"
DATE,7/2/34
DATE,m /30/34
DATE,4 / 5/35
DATE,12/ 7/33
DATE,1 / 1/34
DATE,10/18/34
DATE,10/18/34
DATE,10/26/34
DATE,1/7/34
DATE,8 /22/34
DATE,"Oct. 29, 1932"
DATE,"Nov. 10, 1932"
DATE,"Dec. 16, 1932"
DATE,"April 8, 1932"
DATE,"May 5, 1932"
DATE,2/21/34
DATE,3/7/34
DATE,3/16/34
DATE,3 /27/34
DATE,8 /13/35
DATE,"July 15, 1932"
DATE,9 /18/34
DATE,9 /24/34
DATE,11/2/38
DATE,12/9/38
DATE,5/24/39
DATE,5/24/39
DATE,9/20/39
DATE,9/20/39
DATE,3/18/40
DATE,1/13/41
DATE,1/13/41
DATE,8/4/32
DATE,5/23/35
DATE,7/7/36
DATE,6/25/32
DATE,7/29/32
DATE,11/29/32
DATE,12/18/34
DATE,6/3/35
DATE,2/12/36
DATE,4/17/36
DATE,7/6/37
DATE,8/10/37
DATE,9/25/39
DATE,11/29/39
DATE,11/29/39
DATE,"Feb. 25, 1932"
DATE,"Apr. 11, 1932"
DATE,"Oct. 4, 1932"
DATE,"Dec. 16, 1932"
DATE,"Feb. 17, 1933"
DATE,"Aug. 22, 1933"
DATE,6/24/32
DATE,2/28/33
DATE,3/27/33
DATE,6/29/36
DATE,9/28/36
DATE,6/1/37
DATE,10/6/39
DATE,1/12/40
DATE,3/26/41
DATE,6/27/41
DATE,6/27/41
DATE,"June 28, 1932"
DATE,"Jan. 9, 1933"
DATE,"Jan. 14, 1933"
DATE,"Jan. 26, 1933"
DATE,"June 5, 1933"
DATE,"July 31, 1933"
DATE,10/2/35
DATE,10/11/35
DATE,1/6/34
DATE,12/27/33
DATE,1 /26/34
DATE,1 /26/34
DATE,1 /29/34
DATE,7/7/33
DATE,8/9/33
DATE,7/4/45
DATE,3/23/32
DATE,7/18/32
DATE,10/7/32
DATE,"Sept. 29, 1932"
DATE,"Jan. 6, 1933"
DATE,"June 7, 1932"
DATE,"Dec. 28, 1932"
DATE,"Mar. 9, 1936"
DATE,"June 5, 1933"
DATE,"Mar. 9, 1936"
DATE,4 /10/34
DATE,5 /25/34
DATE,5 /25/34
DATE,6/7/34
DATE,9 /24/34
DATE,10/3/34
DATE,"May 19, 1933"
DATE,"Feb. 19, 1934"
DATE,"Apr. 12, 1932"
DATE,"Oct. 22, 1932"
DATE,"Oct. 9, 1935"
DECISION,Loan approved
DECISION,Ren. approved
DECISION,Loan approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,Railroad Loan - DECLINED
DECISION,Approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,Loan approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,approved
DECISION,approved
DECISION,declined
DECISION,Loan approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,Railroad Loan approved
DECISION,Railroad Loan approved
DECISION,Railroad Loan approved
DECISION,Railroad Loan approved
DECISION,Railroad Loan approved
DECISION,Railroad Loan approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Ren. approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,Approved
DECISION,approved
DECISION,approved
DECISION,approved
DECISION,Ren. approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Loan approved
DECISION,Bank Ren. - CANCELLED
DECISION,Bank Loan - RESCINDED
DECISION,approved
DECISION,rescinds
DECISION,approved
DECISION,approved
DECISION,Ren. approved
DECISION,Ren. approved
DECISION,Loan approved
DECISION,approved
DECISION,Bank Loan - CANCELLE
