File,Line,Begin Offset,End Offset,Type
small_file_120.txt,0,0,13,DECISION
small_file_120.txt,0,16,29,DATE
small_file_120.txt,0,32,41,AMOUNT
small_file_120.txt,0,45,50,ABBREV
small_file_121.txt,0,0,13,DECISION
small_file_121.txt,0,16,29,DATE
small_file_121.txt,0,32,42,AMOUNT
small_file_121.txt,0,45,52,ABBREV
small_file_122.txt,0,0,13,DECISION
small_file_122.txt,0,16,29,DATE
small_file_122.txt,0,32,42,AMOUNT
small_file_122.txt,0,45,52,ABBREV
small_file_123.txt,0,0,13,DECISION
small_file_123.txt,0,16,27,DATE
small_file_123.txt,0,30,39,AMOUNT
small_file_123.txt,0,42,49,ABBREV
small_file_124.txt,0,0,7,DATE
small_file_124.txt,0,10,19,ABBREV
small_file_124.txt,0,22,30,DECISION
small_file_124.txt,0,33,43,AMOUNT
small_file_125.txt,0,0,6,DATE
small_file_125.txt,0,9,18,ABBREV
small_file_125.txt,0,32,42,AMOUNT
small_file_125.txt,0,46,56,AMOUNT
small_file_126.txt,0,0,7,DATE
small_file_126.txt,0,10,19,ABBREV
small_file_126.txt,0,33,43,AMOUNT
small_file_126.txt,0,47,57,AMOUNT
small_file_127.txt,0,0,8,DATE
small_file_127.txt,0,11,19,ABBREV
small_file_127.txt,0,22,30,DECISION
small_file_127.txt,0,33,43,AMOUNT
small_file_128.txt,0,0,8,DATE
small_file_128.txt,0,11,14,ABBREV
small_file_128.txt,0,17,25,DECISION
small_file_128.txt,0,28,38,AMOUNT
small_file_129.txt,0,0,13,DECISION
small_file_129.txt,0,16,29,DATE
small_file_129.txt,0,32,42,AMOUNT
small_file_129.txt,0,45,52,ABBREV
small_file_13.txt,0,0,13,DECISION
small_file_13.txt,0,16,29,DATE
small_file_13.txt,0,32,43,AMOUNT
small_file_13.txt,0,46,54,ABBREV
small_file_13.txt,0,66,70,PAID DATE
small_file_130.txt,0,0,8,DATE
small_file_130.txt,0,11,20,ABBREV
small_file_130.txt,0,23,31,DECISION
small_file_130.txt,0,34,44,AMOUNT
small_file_131.txt,0,0,8,DATE
small_file_131.txt,0,11,19,ABBREV
small_file_131.txt,0,22,30,DECISION
small_file_131.txt,0,33,43,AMOUNT
small_file_132.txt,0,0,7,DATE
small_file_132.txt,0,10,16,ABBREV
small_file_132.txt,0,19,27,DECISION
small_file_132.txt,0,30,43,AMOUNT
small_file_133.txt,0,0,7,DATE
small_file_133.txt,0,10,17,ABBREV
small_file_133.txt,0,20,28,DECISION
small_file_133.txt,0,31,44,AMOUNT
small_file_134.txt,0,0,7,DATE
small_file_134.txt,0,10,17,ABBREV
small_file_134.txt,0,20,28,DECISION
small_file_134.txt,0,31,44,AMOUNT
small_file_135.txt,0,0,7,DATE
small_file_135.txt,0,10,17,ABBREV
small_file_135.txt,0,20,28,DECISION
small_file_135.txt,0,31,44,AMOUNT
small_file_136.txt,0,0,7,DATE
small_file_136.txt,0,10,17,ABBREV
small_file_136.txt,0,18,26,DECISION
small_file_136.txt,0,29,42,AMOUNT
small_file_137.txt,0,0,7,DATE
small_file_137.txt,0,18,26,DECISION
small_file_137.txt,0,29,42,AMOUNT
small_file_138.txt,0,0,7,DATE
small_file_138.txt,0,10,17,ABBREV
small_file_138.txt,0,23,31,DECISION
small_file_138.txt,0,34,47,AMOUNT
small_file_139.txt,0,0,7,DATE
small_file_139.txt,0,10,17,ABBREV
small_file_139.txt,0,18,26,DECISION
small_file_139.txt,0,29,39,AMOUNT
small_file_14.txt,0,0,21,DECISION
small_file_14.txt,0,24,37,DATE
small_file_14.txt,0,40,51,AMOUNT
small_file_14.txt,0,54,63,ABBREV
small_file_14.txt,0,77,85,DECISION
small_file_140.txt,0,0,7,DATE
small_file_140.txt,0,10,18,ABBREV
small_file_140.txt,0,24,32,DECISION
small_file_140.txt,0,35,45,AMOUNT
small_file_141.txt,0,0,6,DATE
small_file_141.txt,0,9,16,ABBREV
small_file_141.txt,0,19,27,DECISION
small_file_141.txt,0,33,46,AMOUNT
small_file_142.txt,0,0,7,DATE
small_file_142.txt,0,9,15,ABBREV
small_file_142.txt,0,18,26,DECISION
small_file_142.txt,0,29,42,AMOUNT
small_file_143.txt,0,0,6,DATE
small_file_143.txt,0,9,16,ABBREV
small_file_143.txt,0,19,27,DECISION
small_file_143.txt,0,28,41,AMOUNT
small_file_144.txt,0,0,7,DATE
small_file_144.txt,0,10,17,ABBREV
small_file_144.txt,0,18,26,DECISION
small_file_144.txt,0,29,43,AMOUNT
small_file_145.txt,0,0,7,DATE
small_file_145.txt,0,10,17,ABBREV
small_file_145.txt,0,18,26,DECISION
small_file_145.txt,0,29,42,AMOUNT
small_file_146.txt,0,0,8,DATE
small_file_146.txt,0,11,18,ABBREV
small_file_146.txt,0,19,27,DECISION
small_file_146.txt,0,30,41,AMOUNT
small_file_147.txt,0,0,8,DATE
small_file_147.txt,0,11,19,ABBREV
small_file_147.txt,0,20,28,DECISION
small_file_147.txt,0,31,44,AMOUNT
small_file_148.txt,0,0,6,DATE
small_file_148.txt,0,9,15,ABBREV
small_file_148.txt,0,16,24,DECISION
small_file_148.txt,0,27,41,AMOUNT
small_file_149.txt,0,0,7,DATE
small_file_149.txt,0,10,17,ABBREV
small_file_149.txt,0,18,26,DECISION
small_file_149.txt,0,29,43,AMOUNT
small_file_15.txt,0,0,13,DECISION
small_file_15.txt,0,16,28,DATE
small_file_15.txt,0,31,41,AMOUNT
small_file_15.txt,0,44,51,ABBREV
small_file_15.txt,0,61,65,PAID DATE
small_file_150.txt,0,0,7,DATE
small_file_150.txt,0,10,14,ABBREV
small_file_150.txt,0,15,23,DECISION
small_file_150.txt,0,26,39,AMOUNT
small_file_151.txt,0,0,6,DATE
small_file_151.txt,0,9,15,ABBREV
small_file_151.txt,0,16,24,DECISION
small_file_151.txt,0,27,40,AMOUNT
small_file_152.txt,0,0,7,DATE
small_file_152.txt,0,10,17,ABBREV
small_file_152.txt,0,18,26,DECISION
small_file_152.txt,0,29,42,AMOUNT
small_file_153.txt,0,0,7,DATE
small_file_153.txt,0,10,16,ABBREV
small_file_153.txt,0,17,25,DECISION
small_file_153.txt,0,28,41,AMOUNT
small_file_154.txt,0,0,8,DATE
small_file_154.txt,0,11,18,ABBREV
small_file_154.txt,0,19,27,DECISION
small_file_154.txt,0,30,43,AMOUNT
small_file_155.txt,0,0,8,DATE
small_file_155.txt,0,11,16,ABBREV
small_file_155.txt,0,17,25,DECISION
small_file_155.txt,0,28,41,AMOUNT
small_file_156.txt,0,0,22,DECISION
small_file_156.txt,0,25,38,DATE
small_file_156.txt,0,41,55,AMOUNT
small_file_157.txt,0,0,22,DECISION
small_file_157.txt,0,25,38,DATE
small_file_157.txt,0,41,54,AMOUNT
small_file_158.txt,0,0,22,DECISION
small_file_158.txt,0,25,37,DATE
small_file_158.txt,0,40,54,AMOUNT
small_file_158.txt,0,57,64,ABBREV
small_file_159.txt,0,0,22,DECISION
small_file_159.txt,0,25,38,DATE
small_file_159.txt,0,41,54,AMOUNT
small_file_159.txt,0,57,64,ABBREV
small_file_16.txt,0,0,13,DECISION
small_file_16.txt,0,16,28,DATE
small_file_16.txt,0,31,41,AMOUNT
small_file_16.txt,0,44,51,ABBREV
small_file_16.txt,0,61,65,PAID DATE
small_file_160.txt,0,0,22,DECISION
small_file_160.txt,0,25,38,DATE
small_file_160.txt,0,41,55,AMOUNT
small_file_160.txt,0,58,66,ABBREV
small_file_161.txt,0,0,22,DECISION
small_file_161.txt,0,25,38,DATE
small_file_161.txt,0,41,55,AMOUNT
small_file_161.txt,0,58,66,ABBREV
small_file_162.txt,0,0,7,DATE
small_file_162.txt,0,23,31,DECISION
small_file_162.txt,0,34,48,AMOUNT
small_file_163.txt,0,0,7,DATE
small_file_163.txt,0,10,18,ABBREV
small_file_163.txt,0,24,32,DECISION
small_file_163.txt,0,35,48,AMOUNT
small_file_164.txt,0,0,7,DATE
small_file_164.txt,0,10,18,ABBREV
small_file_164.txt,0,24,32,DECISION
small_file_164.txt,0,37,50,AMOUNT
small_file_165.txt,0,0,7,DATE
small_file_165.txt,0,10,16,ABBREV
small_file_165.txt,0,22,30,DECISION
small_file_165.txt,0,34,47,AMOUNT
small_file_166.txt,0,0,7,DATE
small_file_166.txt,0,10,16,ABBREV
small_file_166.txt,0,17,25,DECISION
small_file_166.txt,0,28,41,AMOUNT
small_file_167.txt,0,0,6,DATE
small_file_167.txt,0,9,16,ABBREV
small_file_167.txt,0,17,25,DECISION
small_file_167.txt,0,28,41,AMOUNT
small_file_168.txt,0,0,7,DATE
small_file_168.txt,0,10,16,ABBREV
small_file_168.txt,0,22,30,DECISION
small_file_168.txt,0,33,46,AMOUNT
small_file_169.txt,0,0,7,DATE
small_file_169.txt,0,10,15,ABBREV
small_file_169.txt,0,21,29,DECISION
small_file_169.txt,0,32,45,AMOUNT
small_file_17.txt,0,0,13,DECISION
small_file_17.txt,0,16,29,DATE
small_file_17.txt,0,32,42,AMOUNT
small_file_17.txt,0,45,51,ABBREV
small_file_17.txt,0,62,66,PAID DATE
small_file_170.txt,0,0,7,DATE
small_file_170.txt,0,10,16,ABBREV
small_file_170.txt,0,22,30,DECISION
small_file_170.txt,0,31,41,AMOUNT
small_file_171.txt,0,0,7,DATE
small_file_171.txt,0,10,18,ABBREV
small_file_171.txt,0,24,32,DECISION
small_file_171.txt,0,33,43,AMOUNT
small_file_172.txt,0,0,7,DATE
small_file_172.txt,0,10,15,ABBREV
small_file_172.txt,0,21,29,DECISION
small_file_172.txt,0,30,41,AMOUNT
small_file_173.txt,0,0,13,DECISION
small_file_173.txt,0,16,29,DATE
small_file_173.txt,0,32,43,AMOUNT
small_file_173.txt,0,46,53,ABBREV
small_file_174.txt,0,0,13,DECISION
small_file_174.txt,0,16,28,DATE
small_file_174.txt,0,31,42,AMOUNT
small_file_174.txt,0,43,51,ABBREV
small_file_175.txt,0,0,13,DECISION
small_file_175.txt,0,16,29,DATE
small_file_175.txt,0,32,43,AMOUNT
small_file_175.txt,0,46,53,ABBREV
small_file_176.txt,0,0,13,DECISION
small_file_176.txt,0,32,43,AMOUNT
small_file_176.txt,0,46,54,ABBREV
small_file_177.txt,0,0,13,DECISION
small_file_177.txt,0,16,29,DATE
small_file_177.txt,0,32,43,AMOUNT
small_file_177.txt,0,46,54,ABBREV
small_file_178.txt,0,0,13,DECISION
small_file_178.txt,0,16,28,DATE
small_file_178.txt,0,31,42,AMOUNT
small_file_178.txt,0,45,51,ABBREV
small_file_179.txt,0,0,13,DECISION
small_file_179.txt,0,16,29,DATE
small_file_179.txt,0,32,43,AMOUNT
small_file_179.txt,0,46,53,ABBREV
small_file_18.txt,0,0,13,DECISION
small_file_18.txt,0,16,29,DATE
small_file_18.txt,0,32,42,AMOUNT
small_file_18.txt,0,45,51,ABBREV
small_file_18.txt,0,62,66,PAID DATE
small_file_180.txt,0,0,7,DATE
small_file_180.txt,0,10,18,ABBREV
small_file_180.txt,0,21,29,DECISION
small_file_180.txt,0,32,42,AMOUNT
small_file_181.txt,0,0,8,DATE
small_file_181.txt,0,11,18,ABBREV
small_file_181.txt,0,21,29,DECISION
small_file_181.txt,0,32,42,AMOUNT
small_file_182.txt,0,0,6,DATE
small_file_182.txt,0,9,16,ABBREV
small_file_182.txt,0,19,27,DECISION
small_file_182.txt,0,30,40,AMOUNT
small_file_183.txt,0,0,8,DATE
small_file_183.txt,0,11,20,ABBREV
small_file_183.txt,0,23,31,DECISION
small_file_183.txt,0,34,45,AMOUNT
small_file_184.txt,0,0,8,DATE
small_file_184.txt,0,11,20,ABBREV
small_file_184.txt,0,23,31,DECISION
small_file_184.txt,0,34,45,AMOUNT
small_file_185.txt,0,0,8,DATE
small_file_185.txt,0,11,20,ABBREV
small_file_185.txt,0,23,31,DECISION
small_file_185.txt,0,34,45,AMOUNT
small_file_186.txt,0,0,8,DATE
small_file_186.txt,0,11,19,ABBREV
small_file_186.txt,0,22,30,DECISION
small_file_186.txt,0,33,44,AMOUNT
small_file_187.txt,0,0,6,ABBREV
small_file_187.txt,0,7,15,DECISION
small_file_187.txt,0,18,28,AMOUNT
small_file_188.txt,0,0,6,DATE
small_file_188.txt,0,9,17,ABBREV
small_file_188.txt,0,18,26,DECISION
small_file_188.txt,0,29,39,AMOUNT
small_file_189.txt,0,0,6,DATE
small_file_189.txt,0,9,15,ABBREV
small_file_189.txt,0,16,24,DECISION
small_file_189.txt,0,27,37,AMOUNT
small_file_19.txt,0,0,13,DECISION
small_file_19.txt,0,16,29,DATE
small_file_19.txt,0,32,42,AMOUNT
small_file_19.txt,0,45,53,ABBREV
small_file_19.txt,0,63,67,PAID DATE
small_file_190.txt,0,0,6,DATE
small_file_190.txt,0,9,15,ABBREV
small_file_190.txt,0,18,26,DECISION
small_file_191.txt,0,0,7,DATE
small_file_191.txt,0,10,16,ABBREV
small_file_191.txt,0,17,25,DECISION
small_file_191.txt,0,28,38,AMOUNT
small_file_192.txt,0,0,7,DATE
small_file_192.txt,0,10,17,ABBREV
small_file_192.txt,0,18,26,DECISION
small_file_192.txt,0,29,39,AMOUNT
small_file_193.txt,0,0,7,DATE
small_file_193.txt,0,10,15,ABBREV
small_file_193.txt,0,16,24,DECISION
small_file_193.txt,0,27,37,AMOUNT
small_file_194.txt,0,0,13,DECISION
small_file_194.txt,0,16,30,DATE
small_file_194.txt,0,33,43,AMOUNT
small_file_194.txt,0,46,50,ABBREV
small_file_195.txt,0,0,13,DECISION
small_file_195.txt,0,16,28,DATE
small_file_195.txt,0,31,41,AMOUNT
small_file_195.txt,0,44,52,ABBREV
small_file_196.txt,0,0,13,DECISION
small_file_196.txt,0,16,28,DATE
small_file_196.txt,0,31,42,AMOUNT
small_file_196.txt,0,45,52,ABBREV
small_file_197.txt,0,0,13,DECISION
small_file_197.txt,0,16,29,DATE
small_file_197.txt,0,32,43,AMOUNT
small_file_197.txt,0,46,54,ABBREV
small_file_198.txt,0,0,13,DECISION
small_file_198.txt,0,16,28,DATE
small_file_198.txt,0,31,42,AMOUNT
small_file_198.txt,0,45,53,ABBREV
small_file_199.txt,0,0,21,DECISION
small_file_199.txt,0,24,36,DATE
small_file_2.txt,0,0,20,DECISION
small_file_2.txt,0,22,35,DATE
small_file_2.txt,0,38,49,AMOUNT
small_file_2.txt,0,52,61,ABBREV
small_file_20.txt,0,0,21,DECISION
small_file_20.txt,0,24,37,DATE
small_file_20.txt,0,40,50,AMOUNT
small_file_20.txt,0,71,78,PAID DATE
small_file_200.txt,0,0,21,DECISION
small_file_200.txt,0,24,36,DATE
small_file_200.txt,0,39,50,AMOUNT
small_file_200.txt,0,53,62,ABBREV
small_file_201.txt,0,0,8,DATE
small_file_201.txt,0,11,20,ABBREV
small_file_201.txt,0,23,31,DECISION
small_file_201.txt,0,34,45,AMOUNT
small_file_202.txt,0,0,8,DATE
small_file_202.txt,0,11,20,ABBREV
small_file_202.txt,0,23,31,DECISION
small_file_202.txt,0,34,45,AMOUNT
small_file_203.txt,0,0,8,DATE
small_file_203.txt,0,11,20,ABBREV
small_file_203.txt,0,23,31,DECISION
small_file_203.txt,0,34,45,AMOUNT
small_file_204.txt,0,0,6,DATE
small_file_204.txt,0,9,17,ABBREV
small_file_204.txt,0,20,28,DECISION
small_file_204.txt,0,31,42,AMOUNT
small_file_205.txt,0,0,8,DATE
small_file_205.txt,0,11,20,ABBREV
small_file_205.txt,0,34,45,AMOUNT
small_file_205.txt,0,49,59,AMOUNT
small_file_206.txt,0,0,7,DATE
small_file_206.txt,0,10,19,ABBREV
small_file_206.txt,0,33,44,AMOUNT
small_file_206.txt,0,48,59,AMOUNT
small_file_207.txt,0,0,13,DECISION
small_file_207.txt,0,16,28,DATE
small_file_207.txt,0,31,42,AMOUNT
small_file_207.txt,0,45,51,ABBREV
small_file_208.txt,0,0,13,DECISION
small_file_208.txt,0,16,29,DATE
small_file_208.txt,0,32,42,AMOUNT
small_file_208.txt,0,45,51,ABBREV
small_file_209.txt,0,0,13,DECISION
small_file_209.txt,0,16,29,DATE
small_file_209.txt,0,32,43,AMOUNT
small_file_209.txt,0,46,53,ABBREV
small_file_21.txt,0,0,8,DATE
small_file_21.txt,0,11,18,ABBREV
small_file_21.txt,0,21,29,DECISION
small_file_21.txt,0,30,40,AMOUNT
small_file_21.txt,0,41,45,PAID DATE
small_file_21.txt,0,46,53,PAID DATE
small_file_210.txt,0,5,13,DECISION
small_file_210.txt,0,16,29,DATE
small_file_210.txt,0,32,42,AMOUNT
small_file_210.txt,0,45,50,ABBREV
small_file_211.txt,0,0,20,DECISION
small_file_211.txt,0,24,36,DATE
small_file_211.txt,0,39,49,AMOUNT
small_file_22.txt,0,0,7,DATE
small_file_22.txt,0,13,20,ABBREV
small_file_22.txt,0,21,29,DECISION
small_file_22.txt,0,32,43,AMOUNT
small_file_22.txt,0,55,59,PAID DATE
small_file_23.txt,0,0,8,DATE
small_file_23.txt,0,11,17,ABBREV
small_file_23.txt,0,18,26,DECISION
small_file_23.txt,0,29,40,AMOUNT
small_file_24.txt,0,0,7,DATE
small_file_24.txt,0,10,18,ABBREV
small_file_24.txt,0,19,27,DECISION
small_file_24.txt,0,30,40,AMOUNT
small_file_24.txt,0,51,55,PAID DATE
small_file_25.txt,0,0,8,DATE
small_file_25.txt,0,15,23,DECISION
small_file_25.txt,0,28,38,AMOUNT
small_file_26.txt,0,0,7,DATE
small_file_26.txt,0,10,18,ABBREV
small_file_26.txt,0,25,33,DECISION
small_file_26.txt,0,36,47,AMOUNT
small_file_26.txt,0,59,63,PAID DATE
small_file_27.txt,0,0,6,DATE
small_file_27.txt,0,7,15,ABBREV
small_file_27.txt,0,16,24,DECISION
small_file_27.txt,0,25,35,AMOUNT
small_file_27.txt,0,45,49,PAID DATE
small_file_28.txt,0,0,8,DATE
small_file_28.txt,0,13,21,ABBREV
small_file_28.txt,0,22,30,DECISION
small_file_28.txt,0,35,45,AMOUNT
small_file_28.txt,0,59,63,PAID DATE
small_file_29.txt,0,0,6,DATE
small_file_29.txt,0,9,17,ABBREV
small_file_29.txt,0,18,26,DECISION
small_file_29.txt,0,29,39,AMOUNT
small_file_3.txt,0,0,19,DECISION
small_file_3.txt,0,22,35,DATE
small_file_3.txt,0,36,47,AMOUNT
small_file_3.txt,0,50,57,ABBREV
small_file_30.txt,0,0,7,DATE
small_file_30.txt,0,10,19,ABBREV
small_file_30.txt,0,22,30,DECISION
small_file_30.txt,0,33,44,AMOUNT
small_file_31.txt,0,0,8,DATE
small_file_31.txt,0,11,19,ABBREV
small_file_31.txt,0,22,30,DECISION
small_file_31.txt,0,33,44,AMOUNT
small_file_32.txt,0,0,13,DECISION
small_file_32.txt,0,16,29,DATE
small_file_32.txt,0,32,43,AMOUNT
small_file_32.txt,0,46,53,ABBREV
small_file_32.txt,0,65,69,PAID DATE
small_file_33.txt,0,0,13,DECISION
small_file_33.txt,0,16,29,DATE
small_file_33.txt,0,32,43,AMOUNT
small_file_33.txt,0,46,53,ABBREV
small_file_33.txt,0,66,70,PAID DATE
small_file_34.txt,0,0,13,DECISION
small_file_34.txt,0,16,29,DATE
small_file_34.txt,0,32,42,AMOUNT
small_file_34.txt,0,45,53,ABBREV
small_file_34.txt,0,75,81,PAID DATE
small_file_35.txt,0,0,13,DECISION
small_file_35.txt,0,16,28,DATE
small_file_35.txt,0,31,42,AMOUNT
small_file_35.txt,0,45,52,ABBREV
small_file_35.txt,0,75,78,DECISION
small_file_35.txt,0,75,78,PAID DATE
small_file_36.txt,0,0,7,DATE
small_file_36.txt,0,10,24,DECISION
small_file_36.txt,0,27,33,ABBREV
small_file_36.txt,0,36,47,AMOUNT
small_file_37.txt,0,0,8,DATE
small_file_37.txt,0,11,17,ABBREV
small_file_37.txt,0,20,28,DECISION
small_file_37.txt,0,31,42,AMOUNT
small_file_38.txt,0,0,8,DATE
small_file_38.txt,0,11,18,ABBREV
small_file_38.txt,0,21,29,DECISION
small_file_38.txt,0,32,43,AMOUNT
small_file_39.txt,0,0,6,DATE
small_file_39.txt,0,9,17,ABBREV
small_file_39.txt,0,20,28,DECISION
small_file_39.txt,0,31,42,AMOUNT
small_file_4.txt,0,0,19,DECISION
small_file_4.txt,0,22,35,DATE
small_file_4.txt,0,38,49,AMOUNT
small_file_4.txt,0,52,59,ABBREV
small_file_40.txt,0,0,8,DATE
small_file_40.txt,0,11,18,ABBREV
small_file_40.txt,0,21,29,DECISION
small_file_40.txt,0,32,43,AMOUNT
small_file_41.txt,0,0,8,DATE
small_file_41.txt,0,11,18,ABBREV
small_file_41.txt,0,21,29,DECISION
small_file_41.txt,0,32,43,AMOUNT
small_file_42.txt,0,0,8,DATE
small_file_42.txt,0,11,19,ABBREV
small_file_42.txt,0,22,30,DECISION
small_file_42.txt,0,33,44,AMOUNT
small_file_43.txt,0,0,7,DATE
small_file_43.txt,0,10,17,ABBREV
small_file_43.txt,0,18,26,DECISION
small_file_43.txt,0,29,40,AMOUNT
small_file_43.txt,0,41,45,PAID DATE
small_file_43.txt,0,46,53,PAID DATE
small_file_44.txt,0,0,8,DATE
small_file_44.txt,0,18,26,DECISION
small_file_44.txt,0,29,39,AMOUNT
small_file_45.txt,0,0,8,DATE
small_file_45.txt,0,11,19,ABBREV
small_file_45.txt,0,22,30,DECISION
small_file_45.txt,0,33,44,AMOUNT
small_file_46.txt,0,0,13,DECISION
small_file_46.txt,0,16,29,DATE
small_file_46.txt,0,32,43,AMOUNT
small_file_46.txt,0,46,53,ABBREV
small_file_46.txt,0,54,58,PAID DATE
small_file_47.txt,0,0,13,DECISION
small_file_47.txt,0,16,28,DATE
small_file_47.txt,0,31,41,AMOUNT
small_file_47.txt,0,44,51,ABBREV
small_file_47.txt,0,52,56,PAID DATE
small_file_48.txt,0,0,13,DECISION
small_file_48.txt,0,16,29,DATE
small_file_48.txt,0,32,43,AMOUNT
small_file_48.txt,0,46,54,ABBREV
small_file_49.txt,0,0,13,DECISION
small_file_49.txt,0,16,28,DATE
small_file_49.txt,0,32,43,AMOUNT
small_file_49.txt,0,46,53,ABBREV
small_file_49.txt,0,57,65,ABBREV
small_file_5.txt,0,0,19,DECISION
small_file_5.txt,0,22,35,DATE
small_file_5.txt,0,38,49,AMOUNT
small_file_5.txt,0,52,59,ABBREV
small_file_50.txt,0,0,13,DECISION
small_file_50.txt,0,16,29,DATE
small_file_50.txt,0,32,43,AMOUNT
small_file_50.txt,0,46,54,ABBREV
small_file_51.txt,0,0,13,DECISION
small_file_51.txt,0,16,28,DATE
small_file_51.txt,0,31,42,AMOUNT
small_file_51.txt,0,45,50,ABBREV
small_file_51.txt,0,51,55,PAID DATE
small_file_52.txt,0,0,13,DECISION
small_file_52.txt,0,16,28,DATE
small_file_52.txt,0,31,42,AMOUNT
small_file_52.txt,0,45,53,ABBREV
small_file_53.txt,0,0,13,DECISION
small_file_53.txt,0,16,29,DATE
small_file_53.txt,0,32,43,AMOUNT
small_file_53.txt,0,46,53,ABBREV
small_file_54.txt,0,0,19,DECISION
small_file_54.txt,0,22,35,DATE
small_file_54.txt,0,38,49,AMOUNT
small_file_54.txt,0,52,60,ABBREV
small_file_55.txt,0,0,13,DECISION
small_file_55.txt,0,16,29,DATE
small_file_55.txt,0,32,43,AMOUNT
small_file_55.txt,0,46,54,ABBREV
small_file_55.txt,0,55,59,PAID DATE
small_file_56.txt,0,0,13,DECISION
small_file_56.txt,0,16,29,DATE
small_file_56.txt,0,32,42,AMOUNT
small_file_56.txt,0,45,52,ABBREV
small_file_56.txt,0,64,68,PAID DATE
small_file_57.txt,0,0,21,DECISION
small_file_57.txt,0,24,36,DATE
small_file_57.txt,0,39,49,AMOUNT
small_file_57.txt,0,62,70,DECISION
small_file_58.txt,0,0,22,DECISION
